Município;Codigo
Acauã;2200053
Agricolândia;2200103
Água Branca;2200202
Alagoinha do Piauí;2200251
Alegrete do Piauí;2200277
Alto Longá;2200301
Altos;2200400
Alvorada do Gurguéia;2200459
Amarante;2200509
Angical do Piauí;2200608
Anísio de Abreu;2200707
Antônio Almeida;2200806
Aroazes;2200905
Aroeiras do Itaim;2200954
Arraial;2201002
Assunção do Piauí;2201051
Avelino Lopes;2201101
Baixa Grande do Ribeiro;2201150
Barra D'Alcântara;2201176
Barras;2201200
Barreiras do Piauí;2201309
Barro Duro;2201408
Batalha;2201507
Bela Vista do Piauí;2201556
Belém do Piauí;2201572
Beneditinos;2201606
Bertolínia;2201705
Betânia do Piauí;2201739
Boa Hora;2201770
Bocaina;2201804
Bom Jesus;2201903
Bom Princípio do Piauí;2201919
Bonfim do Piauí;2201929
Boqueirão do Piauí;2201945
Brasileira;2201960
Brejo do Piauí;2201988
Buriti dos Lopes;2202000
Buriti dos Montes;2202026
Cabeceiras do Piauí;2202059
Cajazeiras do Piauí;2202075
Cajueiro da Praia;2202083
Caldeirão Grande do Piauí;2202091
Campinas do Piauí;2202109
Campo Alegre do Fidalgo;2202117
Campo Grande do Piauí;2202133
Campo Largo do Piauí;2202174
Campo Maior;2202208
Canavieira;2202251
Canto do Buriti;2202307
Capitão de Campos;2202406
Capitão Gervásio Oliveira;2202455
Caracol;2202505
Caraúbas do Piauí;2202539
Caridade do Piauí;2202554
Castelo do Piauí;2202604
Caxingó;2202653
Cocal;2202703
Cocal de Telha;2202711
Cocal dos Alves;2202729
Coivaras;2202737
Colônia do Gurguéia;2202752
Colônia do Piauí;2202778
Conceição do Canindé;2202802
Coronel José Dias;2202851
Corrente;2202901
Cristalândia do Piauí;2203008
Cristino Castro;2203107
Curimatá;2203206
Currais;2203230
Curral Novo do Piauí;2203271
Curralinhos;2203255
Demerval Lobão;2203305
Dirceu Arcoverde;2203354
Dom Expedito Lopes;2203404
Dom Inocêncio;2203453
Domingos Mourão;2203420
Elesbão Veloso;2203503
Eliseu Martins;2203602
Esperantina;2203701
Fartura do Piauí;2203750
Flores do Piauí;2203800
Floresta do Piauí;2203859
Floriano;2203909
Francinópolis;2204006
Francisco Ayres;2204105
Francisco Macedo;2204154
Francisco Santos;2204204
Fronteiras;2204303
Geminiano;2204352
Gilbués;2204402
Guadalupe;2204501
Guaribas;2204550
Hugo Napoleão;2204600
Ilha Grande;2204659
Inhuma;2204709
Ipiranga do Piauí;2204808
Isaías Coelho;2204907
Itainópolis;2205003
Itaueira;2205102
Jacobina do Piauí;2205151
Jaicós;2205201
Jardim do Mulato;2205250
Jatobá do Piauí;2205276
Jerumenha;2205300
João Costa;2205359
Joaquim Pires;2205409
Joca Marques;2205458
José de Freitas;2205508
Juazeiro do Piauí;2205516
Júlio Borges;2205524
Jurema;2205532
Lagoa Alegre;2205557
Lagoa de São Francisco;2205573
Lagoa do Barro do Piauí;2205565
Lagoa do Piauí;2205581
Lagoa do Sítio;2205599
Lagoinha do Piauí;2205540
Landri Sales;2205607
Luís Correia;2205706
Luzilândia;2205805
Madeiro;2205854
Manoel Emídio;2205904
Marcolândia;2205953
Marcos Parente;2206001
Massapê do Piauí;2206050
Matias Olímpio;2206100
Miguel Alves;2206209
Miguel Leão;2206308
Milton Brandão;2206357
Monsenhor Gil;2206407
Monsenhor Hipólito;2206506
Monte Alegre do Piauí;2206605
Morro Cabeça no Tempo;2206654
Morro do Chapéu do Piauí;2206670
Murici dos Portelas;2206696
Nazaré do Piauí;2206704
Nazária;2206720
Nossa Senhora de Nazaré;2206753
Nossa Senhora dos Remédios;2206803
Nova Santa Rita;2207959
Novo Oriente do Piauí;2206902
Novo Santo Antônio;2206951
Oeiras;2207009
Olho D'Água do Piauí;2207108
Padre Marcos;2207207
Paes Landim;2207306
Pajeú do Piauí;2207355
Palmeira do Piauí;2207405
Palmeirais;2207504
Paquetá;2207553
Parnaguá;2207603
Parnaíba;2207702
Passagem Franca do Piauí;2207751
Patos do Piauí;2207777
Pau D'Arco do Piauí;2207793
Paulistana;2207801
Pavussu;2207850
Pedro II;2207900
Pedro Laurentino;2207934
Picos;2208007
Pimenteiras;2208106
Pio IX;2208205
Piracuruca;2208304
Piripiri;2208403
Porto;2208502
Porto Alegre do Piauí;2208551
Prata do Piauí;2208601
Queimada Nova;2208650
Redenção do Gurguéia;2208700
Regeneração;2208809
Riacho Frio;2208858
Ribeira do Piauí;2208874
Ribeiro Gonçalves;2208908
Rio Grande do Piauí;2209005
Santa Cruz do Piauí;2209104
Santa Cruz dos Milagres;2209153
Santa Filomena;2209203
Santa Luz;2209302
Santa Rosa do Piauí;2209377
Santana do Piauí;2209351
Santo Antônio de Lisboa;2209401
Santo Antônio dos Milagres;2209450
Santo Inácio do Piauí;2209500
São Braz do Piauí;2209559
São Félix do Piauí;2209609
São Francisco de Assis do Piauí;2209658
São Francisco do Piauí;2209708
São Gonçalo do Gurguéia;2209757
São Gonçalo do Piauí;2209807
São João da Canabrava;2209856
São João da Fronteira;2209872
São João da Serra;2209906
São João da Varjota;2209955
São João do Arraial;2209971
São João do Piauí;2210003
São José do Divino;2210052
São José do Peixe;2210102
São José do Piauí;2210201
São Julião;2210300
São Lourenço do Piauí;2210359
São Luis do Piauí;2210375
São Miguel da Baixa Grande;2210383
São Miguel do Fidalgo;2210391
São Miguel do Tapuio;2210409
São Pedro do Piauí;2210508
São Raimundo Nonato;2210607
Sebastião Barros;2210623
Sebastião Leal;2210631
Sigefredo Pacheco;2210656
Simões;2210706
Simplício Mendes;2210805
Socorro do Piauí;2210904
Sussuapara;2210938
Tamboril do Piauí;2210953
Tanque do Piauí;2210979
Teresina;2211001
União;2211100
Uruçuí;2211209
Valença do Piauí;2211308
Várzea Branca;2211357
Várzea Grande;2211407
Vera Mendes;2211506
Vila Nova do Piauí;2211605
Wall Ferraz;2211704
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
